gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,1,0,0.047344458355934496,1,1,1,2,2,1,2,1,0,-1.1199106843183482,-0.5127798352814157,0,0,0,1,0,0,1,0
0,0,1,0,-0.5558856088039599,1,2,1,1,1,2,1,2,1,0.752234549037438,-0.23176688053661948,0,1,0,0,0,1,0,0
0,0,0,1,0.7897814640911891,1,2,0,0,0,0,0,0,1,0.5677867427954889,1.1060205525942397,0,0,1,0,0,0,1,0
1,0,1,0,0.18655139693129474,1,1,1,2,2,2,1,2,1,-0.6833842095457344,-0.21640372558813237,0,0,0,0,0,0,0,0
1,0,0,1,-0.8807017988131338,1,1,1,2,1,1,2,2,1,-1.142454305081253,-0.9167135898655765,1,1,0,0,0,0,1,0
0,0,0,0,-1.019908737388494,1,2,0,0,0,0,0,0,1,-0.19698851308548268,-0.8829841514354576,0,0,1,0,0,1,0,0
1,0,0,0,-1.2055179888223078,0,0,0,0,0,0,0,0,1,-0.6318071378003005,-1.0470618164052223,1,0,1,0,0,0,1,0
0,0,1,0,-1.3911272402561214,1,1,1,2,1,1,1,1,1,-0.7148086506091778,-1.1312375900915823,1,0,0,1,0,0,1,0
1,0,1,0,1.3466092183926301,1,2,1,2,1,1,2,1,0,0.962300106146325,1.9581414169349085,0,0,0,0,1,0,1,0
1,0,0,1,-1.112713363105401,1,1,1,2,2,1,2,2,1,-0.1956222330392463,-0.9075382282504941,1,0,0,0,0,1,0,0
0,0,0,0,-0.9271041116715872,1,2,1,2,2,1,2,1,1,0.9356576452447101,-0.630985878926258,1,1,0,0,0,0,0,0
0,0,0,1,-0.37027635737014625,1,1,0,0,0,0,0,0,0,-1.0252957911164593,-0.6458925998317111,0,0,1,0,1,0,0,1
0,0,1,1,0.9289884026665494,1,2,1,1,1,1,1,2,1,-0.26564408540887513,0.5957584129851003,0,1,0,0,1,0,0,1
0,0,1,1,-0.8342994859546804,1,1,1,1,1,1,2,1,1,-0.6283914376847088,-0.7948768208784178,1,1,0,0,0,0,1,0
0,0,1,0,-0.23106941879478599,1,1,1,1,1,1,2,2,0,0.2781353729933164,-0.09708253058815004,0,1,0,0,1,1,0,0
0,0,0,0,1.1609999669588165,1,2,1,2,2,2,2,1,1,0.209479800669924,1.1360777716781303,0,0,0,1,0,0,0,1
0,0,1,0,-0.4630809830870531,1,1,0,0,0,0,0,0,1,0.5059625707032799,-0.23678765500999413,0,0,1,0,1,1,0,0
1,0,0,0,-0.6950925473793201,1,2,0,0,0,0,0,0,0,-1.5338935383280565,-0.8994054034837056,0,0,1,0,0,0,0,0
0,1,1,0,-1.1591156759638543,1,2,1,2,2,1,2,2,0,-0.4357459511653395,-1.0090429353206811,0,1,0,0,0,0,0,0
1,0,1,0,0.047344458355934496,1,1,1,1,1,1,1,1,1,1.1180560314173047,0.5541036198077538,1,1,0,0,0,0,0,0
0,1,0,0,1.3930115312510836,1,1,2,1,1,1,1,1,1,1.1925182939372025,2.2385890158764017,0,0,0,0,1,1,0,0
1,0,0,0,-1.019908737388494,1,1,1,2,2,1,1,1,1,1.2413628055901633,-0.6971947489186411,1,1,0,0,0,0,1,0
1,0,0,0,1.0217930283834562,1,1,0,0,0,0,0,0,1,0.9848437269092298,1.643056698227718,0,0,1,0,1,0,1,0
0,0,1,0,-1.2055179888223078,1,2,1,2,2,2,2,2,0,-0.7366691313489644,-0.9792087465078189,1,1,0,0,0,0,1,0
0,0,0,1,0.650574525515829,1,1,2,2,1,1,1,1,0,1.1593860028159635,1.2916024850914953,0,0,0,0,1,1,0,0
0,1,1,0,0.650574525515829,1,1,1,2,1,2,2,2,0,-0.6963638699849829,0.05270563678435525,0,0,0,1,0,0,0,0
1,0,0,0,-1.1591156759638543,1,1,0,0,0,0,0,0,0,0.054407015422063124,-0.9206814539896794,0,0,1,0,1,1,0,0
0,1,0,0,-0.2774717316532394,0,0,0,0,0,0,0,0,1,1.0951708406428404,0.11341136450788455,1,0,1,0,0,0,1,0
0,1,1,1,0.0009421454974810828,1,2,2,2,1,1,1,2,1,-1.2647363692194342,-0.5468879064972333,0,0,0,0,1,0,1,0
1,0,0,1,1.4858161569679904,1,1,1,2,1,1,1,2,0,1.503005434444484,2.640785209046739,0,1,0,0,1,0,0,0
1,0,1,0,-0.41667867022859967,1,2,1,2,2,2,1,2,0,1.063063259556279,-0.009597610089793214,0,0,0,0,1,0,1,0
1,0,1,0,-1.3911272402561214,1,1,1,2,1,1,2,1,1,-1.7781160965928602,-1.147383944363912,1,0,0,0,0,0,1,0
1,0,1,0,-1.2055179888223078,1,2,1,1,1,1,2,1,0,1.3059195377748456,-0.8864592742631032,0,1,0,0,0,0,1,0
0,0,1,0,1.439413844109537,1,1,2,1,1,1,1,1,1,0.9329250851522368,2.0609583718788187,0,0,0,1,0,0,0,1
0,0,0,0,-1.2983226145392146,1,2,1,1,2,1,1,1,1,0.14970504864707004,-1.056040081501722,0,0,0,0,0,0,0,1
